DATE,EXPINF10YR
1982-01-01,5.9749912000000000
1982-04-01,5.6685156000000000
1982-07-01,5.7819784666666667
1982-10-01,4.9736041333333333
1983-01-01,4.7294843333333333
1983-04-01,4.6657454333333333
1983-07-01,4.9979892666666667
1983-10-01,5.0443155666666667
1984-01-01,5.0906632333333333
1984-04-01,5.4984280666666667
1984-07-01,5.5346868000000000
1984-10-01,5.0883249666666667
1985-01-01,5.1396746666666667
1985-04-01,4.8651427000000000
1985-07-01,4.6338346000000000
1985-10-01,4.4931961333333333
1986-01-01,3.9979073666666667
1986-04-01,3.6962264666666667
1986-07-01,3.5798593666666667
1986-10-01,3.5567019666666667
1987-01-01,3.4771669666666667
1987-04-01,3.8370295000000000
1987-07-01,4.0557199333333333
1987-10-01,4.2285899333333333
1988-01-01,3.9595603333333333
1988-04-01,4.0681033333333333
1988-07-01,4.1117827666666667
1988-10-01,4.0578042666666667
1989-01-01,4.2691099333333333
1989-04-01,4.1085879333333333
1989-07-01,3.7059770666666667
1989-10-01,3.7257347666666667
1990-01-01,3.9067440000000000
1990-04-01,4.0161228333333333
1990-07-01,3.9209755333333333
1990-10-01,3.9430409000000000
1991-01-01,3.7995597333333333
1991-04-01,3.8045613666666667
1991-07-01,3.8121097333333333
1991-10-01,3.5462250666666667
1992-01-01,3.5179933333333333
1992-04-01,3.6332184000000000
1992-07-01,3.3234853333333333
1992-10-01,3.2896639000000000
1993-01-01,3.1762714000000000
1993-04-01,3.0223519333333333
1993-07-01,2.9288990666666667
1993-10-01,2.9141196000000000
1994-01-01,3.0634859666666667
1994-04-01,3.4732972666666667
1994-07-01,3.5102900333333333
1994-10-01,3.7548177000000000
1995-01-01,3.7372576000000000
1995-04-01,3.2893111333333333
1995-07-01,3.1233996666666667
1995-10-01,2.9762854000000000
1996-01-01,2.9038630666666667
1996-04-01,3.2487936666666667
1996-07-01,3.2915960666666667
1996-10-01,3.1699937666666667
1997-01-01,3.2455742666666667
1997-04-01,3.3250242666666667
1997-07-01,3.1583393333333333
1997-10-01,3.0661783666666667
1998-01-01,2.9368390000000000
1998-04-01,2.9390829333333333
1998-07-01,2.8607493333333333
1998-10-01,2.4843892333333333
1999-01-01,2.6671926000000000
1999-04-01,2.8608256666666667
1999-07-01,3.0533913000000000
1999-10-01,3.1671529000000000
2000-01-01,3.3172853333333333
2000-04-01,3.2589822000000000
2000-07-01,3.0476560666666667
2000-10-01,2.9310508333333333
2001-01-01,2.5579322333333333
2001-04-01,2.7313428333333333
2001-07-01,2.7474823000000000
2001-10-01,2.5212699666666667
2002-01-01,2.7356563000000000
2002-04-01,2.8250630000000000
2002-07-01,2.4191784000000000
2002-10-01,2.2136470000000000
2003-01-01,2.1892966333333333
2003-04-01,2.0708606666666667
2003-07-01,2.2198461000000000
2003-10-01,2.2542807000000000
2004-01-01,2.2546310333333333
2004-04-01,2.3900448000000000
2004-07-01,2.4431248000000000
2004-10-01,2.3348616333333333
2005-01-01,2.4047695000000000
2005-04-01,2.4067037333333333
2005-07-01,2.3948087666666667
2005-10-01,2.5651291000000000
2006-01-01,2.4788541000000000
2006-04-01,2.6517205000000000
2006-07-01,2.6196023666666667
2006-10-01,2.4038425666666667
2007-01-01,2.5214612333333333
2007-04-01,2.5583009333333333
2007-07-01,2.5137561333333333
2007-10-01,2.3277174333333333
2008-01-01,2.0628457000000000
2008-04-01,2.1749102000000000
2008-07-01,2.2999659666666667
2008-10-01,1.8981964666666667
2009-01-01,1.6413906666666667
2009-04-01,1.8535621666666667
2009-07-01,2.0681111000000000
2009-10-01,1.9619755333333333
2010-01-01,2.0381484333333333
2010-04-01,1.9892216333333333
2010-07-01,1.6733046666666667
2010-10-01,1.6049399333333333
2011-01-01,2.0018306333333333
2011-04-01,2.0085433333333333
2011-07-01,1.7595493666666667
2011-10-01,1.6130442666666667
2012-01-01,1.5757360333333333
2012-04-01,1.5402332333333333
2012-07-01,1.4983123666666667
2012-10-01,1.5156210333333333
2013-01-01,1.4797121000000000
2013-04-01,1.4753455000000000
2013-07-01,1.7538161000000000
2013-10-01,1.7420456000000000
2014-01-01,1.7877615666666667
2014-04-01,1.8579101000000000
2014-07-01,1.8915243666666667
2014-10-01,1.8468636000000000
2015-01-01,1.6439367666666667
2015-04-01,1.7766960000000000
2015-07-01,1.8464430466666667
2015-10-01,1.7860841100000000
2016-01-01,1.7355012566666667
2016-04-01,1.7295723300000000
2016-07-01,1.6685437533333333
2016-10-01,1.8055258300000000
2017-01-01,1.9104383400000000
2017-04-01,1.8094428933333333
2017-07-01,1.8362551300000000
2017-10-01,1.9430470833333333
2018-01-01,1.9999974433333333
2018-04-01,2.0406281433333333
2018-07-01,2.1240775733333333
2018-10-01,2.1374345833333333
2019-01-01,1.8736988600000000
2019-04-01,1.7290286866666667
2019-07-01,1.6318809233333333
2019-10-01,1.6786218533333333
2020-01-01,1.5411520500000000
2020-04-01,1.18418641333333333333
2020-07-01,1.3462851666666667
2020-10-01,1.3771135833333333
2021-01-01,1.4348011433333333
2021-04-01,1.5859295333333333
2021-07-01,1.6159198666666667
2021-10-01,1.7100703533333333
2022-01-01,1.8883005333333333
2022-04-01,2.3276375200000000
2022-07-01,2.2293846566666667
2022-10-01,2.3482855433333333
2023-01-01,2.2166576100000000
2023-04-01,2.0070665166666667
2023-07-01,2.1416656233333333
2023-10-01,2.3417291133333333
2024-01-01,2.1764869833333333
2024-04-01,2.3871753866666667
2024-07-01,2.2189204500000000
2024-10-01,.
